MAVEN.UTCGregorian         MAVEN.EarthMJ2000Eq.X   MAVEN.EarthMJ2000Eq.Y   MAVEN.EarthMJ2000Eq.Z   
19 Nov 2013 17:48:13.196   -316100.6299670455      -84616.998036732271     64703.31063715143       
19 Nov 2013 17:58:13.196   -318224.73577082716     -85312.986272026843     65207.051817199608      
19 Nov 2013 18:08:13.196   -320347.63517651439     -86008.663880368767     65710.538738269956      
19 Nov 2013 18:18:13.196   -322469.34458598198     -86704.03485490373      66213.77446939965       
19 Nov 2013 18:28:13.196   -324589.88006042107     -87399.10311597251      66716.762020155875      
19 Nov 2013 18:38:13.196   -326709.25732985442     -88093.872512907765     67219.504342171786      
19 Nov 2013 18:48:13.196   -328827.49180231843     -88788.346825775458     67722.004330632422      
19 Nov 2013 18:58:13.196   -330944.59857272496     -89482.529767062893     68224.264825713122      
19 Nov 2013 19:08:13.196   -333060.59243141714     -90176.424983315388     68726.288613971832      
19 Nov 2013 19:18:13.196   -335175.48787243222     -90870.036056723504     69228.078429697212      
19 Nov 2013 19:28:13.196   -337289.29910148168     -91563.366506662453     69729.636956214279      
19 Nov 2013 19:38:13.196   -339402.04004366248     -92256.419791185544     70230.966827149139      
19 Nov 2013 19:48:13.196   -341513.72435090918     -92949.199308473238     70732.070627654393      
19 Nov 2013 19:58:13.196   -343624.36540919717     -93641.708398239352     71232.950895596572      
19 Nov 2013 20:08:13.196   -345733.97634550743     -94333.95034309609      71733.610122707105      
19 Nov 2013 20:18:13.196   -347842.5700345629      -95025.928369879111     72234.050755698176      
19 Nov 2013 20:28:13.196   -349950.15910534363     -95717.645650934181     72734.275197344803      
19 Nov 2013 20:38:13.196   -352056.75594739208     -96409.105305366684     73234.285807534136      
19 Nov 2013 20:48:13.196   -354162.37271691405     -97100.310400255345     73734.084904283402      
19 Nov 2013 20:58:13.196   -356267.02134268475     -97791.263951831294     74233.674764727562      
19 Nov 2013 21:08:13.196   -358370.71353176725     -98481.968926623726     74733.057626077716      
19 Nov 2013 21:18:13.196   -360473.4607750508      -99172.428242573136     75232.235686551372      
19 Nov 2013 21:28:13.196   -362575.27435261407     -99862.64477011346      75731.211106275397      
19 Nov 2013 21:38:13.196   -364676.16533892282     -100552.62133322413     76229.986008162887      
19 Nov 2013 21:48:13.196   -366776.14460786572     -101242.36071045279     76728.562478764652      
19 Nov 2013 21:58:13.196   -368875.22283763549     -101931.86563590979     77226.942569096209      
19 Nov 2013 22:08:13.196   -370973.41051546088     -102621.1388002357      77725.128295441245      
19 Nov 2013 22:18:13.196   -373070.71794219472     -103310.18285154209     78223.121640132318      
19 Nov 2013 22:28:13.196   -375167.15523676429     -103999.00039632713     78720.924552309443      
19 Nov 2013 22:38:13.196   -377262.73234048695     -104687.5940003662      79218.538948657486      
19 Nov 2013 22:48:13.196   -379357.45902125846     -105375.96618957886     79715.966714122929      
19 Nov 2013 22:58:13.196   -381451.34487761662     -106064.11945087262     80213.20970261097       
19 Nov 2013 23:08:13.196   -383544.39934268518     -106752.05623296421     80710.269737663111      
19 Nov 2013 23:18:13.196   -385636.63168800267     -107439.77894717941     81207.148613116471      
19 Nov 2013 23:28:13.196   -387728.05102724029     -108127.28996823165     81703.848093744949      
19 Nov 2013 23:38:13.196   -389818.66631981137     -108814.59163498045     82200.369915883217      
19 Nov 2013 23:48:13.196   -391908.48637437815     -109501.6862511701      82696.715788033544      
19 Nov 2013 23:58:13.196   -393997.51985225768     -110188.57608614939     83192.887391456825      
20 Nov 2013 00:08:13.196   -396085.77527073183     -110875.26337557251     83688.886380747557      
20 Nov 2013 00:18:13.196   -398173.26100626332     -111561.7503220825      84184.714384393723      
20 Nov 2013 00:28:13.196   -400259.98529762146     -112248.03909597691     84680.373005321831      
20 Nov 2013 00:38:13.196   -402345.95624892158     -112934.13183585693     85175.863821427789      
20 Nov 2013 00:48:13.196   -404431.18183257943     -113620.03064925993     85671.188386093781      
20 Nov 2013 00:58:13.196   -406515.6698921838      -114305.73761327646     86166.348228691961      
20 Nov 2013 01:08:13.196   -408599.42814529198     -114991.25477515157     86661.344855075018      
20 Nov 2013 01:18:13.196   -410682.4641861475      -115676.58415287138     87156.179748054245      
20 Nov 2013 01:28:13.196   -412764.78548832453     -116361.72773573529     87650.854367865264      
20 Nov 2013 01:38:13.196   -414846.39940730209     -117046.68748491394     88145.370152622112      
20 Nov 2013 01:48:13.196   -416927.31318296806     -117731.46533399374     88639.72851875989       
20 Nov 2013 01:58:13.196   -419007.53394205705     -118416.06318950797     89133.930861466055      
20 Nov 2013 02:08:13.196   -421087.06870052352     -119100.48293145532     89627.978555101145      
20 Nov 2013 02:18:13.196   -423165.92436585273     -119784.72641380566     90121.872953609141      
20 Nov 2013 02:28:13.196   -425244.10773931071     -120468.79546499399     90615.615390917374      
20 Nov 2013 02:38:13.196   -427321.62551813578     -121152.69188840243     91109.207181326885      
20 Nov 2013 02:48:13.196   -429398.48429767328     -121836.41746283087     91602.649619893069      
20 Nov 2013 02:58:13.196   -431474.69057345547     -122519.97394295641     92095.943982797224      
20 Nov 2013 03:08:13.196   -433550.25074322766     -123203.36305978228     92589.091527708879      
20 Nov 2013 03:18:13.196   -435625.17110892292     -123886.58652107597     93082.093494139481      
20 Nov 2013 03:28:13.196   -437699.45787858701     -124569.64601179742     93574.951103787811      
20 Nov 2013 03:38:13.196   -439773.1171682541      -125252.54319451713     94067.66556087682       
20 Nov 2013 03:48:13.196   -441846.15500377578     -125935.27970982477     94560.238052482629      
20 Nov 2013 03:58:13.196   -443918.57732260466     -126617.85717672826     95052.669748855886      
20 Nov 2013 04:08:13.196   -445990.38997553318     -127300.27719304404     95544.961803735277      
20 Nov 2013 04:18:13.196   -448061.59872838925     -127982.54133577814     96037.11535465403       
20 Nov 2013 04:28:13.196   -450132.20926369156     -128664.65116149891     96529.131523238917      
20 Nov 2013 04:38:13.196   -452202.22718226234     -129346.60820670119     97021.01141550277       
20 Nov 2013 04:48:13.196   -454271.65800480306     -130028.41398816246     97512.756122129824      
20 Nov 2013 04:58:13.196   -456340.50717342988     -130710.07000329092     98004.366718754827      
20 Nov 2013 05:08:13.196   -458408.78005317395     -131391.57773046597     98495.844266235625      
20 Nov 2013 05:18:13.196   -460476.48193344456     -132072.93862937108     98987.189810919532      
20 Nov 2013 05:28:13.196   -462543.61802945769     -132754.15414131954     99478.404384903741      
20 Nov 2013 05:38:13.196   -464610.19348363095     -133435.22568957269     99969.489006289936      
20 Nov 2013 05:48:13.196   -466676.21336694551     -134116.15467965155     100460.44467943304      
20 Nov 2013 05:58:13.196   -468741.68268027535     -134796.94249964179     100951.27239518451      
20 Nov 2013 06:08:13.196   -470806.60635568656     -135477.59052049156     101441.97313113022      
20 Nov 2013 06:18:13.196   -472870.9892577054      -136158.10009630368     101932.54785182307      
20 Nov 2013 06:28:13.196   -474934.83618455776     -136838.47256462081     102422.9975090105       
20 Nov 2013 06:38:13.196   -476998.15186937928     -137518.70924670526     102913.32304185702      
20 Nov 2013 06:48:13.196   -479060.94098139863     -138198.81144781216     103403.52537716189      
20 Nov 2013 06:58:13.196   -481123.20812709304     -138878.78045745767     103893.60542957194      
20 Nov 2013 07:08:13.196   -483184.95785131759     -139558.61754968061     104383.56410179015      
20 Nov 2013 07:18:13.196   -485246.19463840965     -140238.32398329955     104873.40228477925      
20 Nov 2013 07:28:13.196   -487306.9229132678      -140917.90100216371     105363.12085796146      
20 Nov 2013 07:38:13.196   -489367.1470424069      -141597.34983539948     105852.72068941356      
20 Nov 2013 07:48:13.196   -491426.87133498926     -142276.67169765083     106342.20263605808      
20 Nov 2013 07:58:13.196   -493486.10004383361     -142955.86778931599     106831.56754385029      
20 Nov 2013 08:08:13.196   -495544.8373664011      -143634.93929677806     107320.81624796144      
20 Nov 2013 08:18:13.196   -497603.08744575985     -144313.88739263199     107809.94957295795      
20 Nov 2013 08:28:13.196   -499660.85437152884     -144992.71323590606     108298.96833297705      
20 Nov 2013 08:38:13.196   -501718.14218080044     -145671.41797227939     108787.87333189856      
20 Nov 2013 08:48:13.196   -503774.95485904341     -146350.00273429503     109276.66536351341      
20 Nov 2013 08:58:13.196   -505831.29634098615     -147028.46864156867     109765.3452116884       
20 Nov 2013 09:08:13.196   -507887.17051148158     -147706.81680099308     110253.91365052779      
20 Nov 2013 09:18:13.196   -509942.5812063528      -148385.04830693876     110742.37144453143      
20 Nov 2013 09:28:13.196   -511997.53221322055     -149063.16424145034     111230.71934874984      
20 Nov 2013 09:38:13.196   -514052.02727231424     -149741.16567443919     111718.95810893597      
20 Nov 2013 09:48:13.196   -516106.07007726491     -150419.05366387244     112207.08846169405      
20 Nov 2013 09:58:13.196   -518159.66427588178     -151096.82925595794     112695.11113462549      
20 Nov 2013 10:08:13.196   -520212.81347091222     -151774.49348532577     113183.02684647161      
20 Nov 2013 10:18:13.196   -522265.52122078667     -152452.04737520654     113670.83630725378      
20 Nov 2013 10:28:13.196   -524317.79104034766     -153129.49193760569     114158.54021841069      
20 Nov 2013 10:38:13.196   -526369.62640156271     -153806.82817347476     114646.13927293294      
20 Nov 2013 10:48:13.196   -528421.03073422541     -154484.0570728794      115133.63415549484      
20 Nov 2013 10:58:13.196   -530472.00742663885     -155161.17961516388     115621.02554258393      
20 Nov 2013 11:08:13.196   -532522.55982628674     -155838.19676911301     116108.31410262761      
20 Nov 2013 11:18:13.196   -534572.69124049158     -156515.10949311021     116595.50049611762      
20 Nov 2013 11:28:13.196   -536622.40493705729     -157191.91873529344     117082.58537573184      
20 Nov 2013 11:38:13.196   -538671.70414490148     -157868.62543370746     117569.56938645407      
20 Nov 2013 11:48:13.196   -540720.59205467347     -158545.23051645377     118056.45316569119      
20 Nov 2013 11:58:13.196   -542769.07181936025     -159221.73490183757     118543.2373433883       
20 Nov 2013 12:08:13.196   -544817.14655488008     -159898.13949851171     119029.92254214144      
20 Nov 2013 12:18:13.196   -546864.81934066548     -160574.44520561842     119516.50937730857      
20 Nov 2013 12:28:13.196   -548912.0932202331      -161250.65291292817     120002.99845711789      
20 Nov 2013 12:38:13.196   -550958.97120174405     -161926.76350097623     120489.39038277467      
20 Nov 2013 12:48:13.196   -553005.45625855168     -162602.77784119608     120975.68574856574      
20 Nov 2013 12:58:13.196   -555051.55132974009     -163278.69679605123     121461.88514196212      
20 Nov 2013 13:08:13.196   -557097.25932065106     -163954.52121916416     121947.98914371977      
20 Nov 2013 13:18:13.196   -559142.58310340182     -164630.25195544292     122433.99832797845      
20 Nov 2013 13:28:13.196   -561187.52551739139     -165305.88984120559     122919.91326235876      
20 Nov 2013 13:38:13.196   -563232.08936979901     -165981.43570430254     123405.73450805739      
20 Nov 2013 13:48:13.196   -565276.27743607212     -166656.89036423626     123891.4626199406       
20 Nov 2013 13:58:13.196   -567320.0924604045      -167332.25463227936     124377.09814663611      
20 Nov 2013 14:08:13.196   -569363.53715620621     -168007.52931159013     124862.64163062305      
20 Nov 2013 14:18:13.196   -571406.61420656485     -168682.71519732641     125348.09360832069      
20 Nov 2013 14:28:13.196   -573449.32626469701     -169357.81307675724     125833.45461017515      
20 Nov 2013 14:38:13.196   -575491.67595439218     -170032.82372937253     126318.72516074484      
20 Nov 2013 14:48:13.196   -577533.66587044823     -170707.74792699088     126803.90577878428      
20 Nov 2013 14:58:13.196   -579575.29857909877     -171382.58643386557     127288.99697732633      
20 Nov 2013 15:08:13.196   -581616.57661843218     -172057.34000678858     127773.99926376312      
20 Nov 2013 15:18:13.196   -583657.50249880413     -172732.0093951929      128258.91313992547      
20 Nov 2013 15:28:13.196   -585698.07870324049     -173406.59534125292     128743.73910216085      
20 Nov 2013 15:38:13.196   -587738.30768783472     -174081.09857998352     129228.47764141006      
20 Nov 2013 15:48:13.196   -589778.19188213733     -174755.51983933678     129713.12924328263      
20 Nov 2013 15:58:13.196   -591817.73368953797     -175429.85984029758     130197.69438813061      
20 Nov 2013 16:08:13.196   -593856.93548764102     -176104.11929697747     130682.17355112139      
20 Nov 2013 16:18:13.196   -595895.79962863401     -176778.29891670673     131166.5672023092       
20 Nov 2013 16:28:13.196   -597934.32843965059     -177452.3994001252      131650.87580670518      
20 Nov 2013 16:38:13.196   -599972.52422312496     -178126.42144127126     132135.09982434651      
20 Nov 2013 16:48:13.196   -602010.38925714209     -178800.36572766959     132619.23971036414      
20 Nov 2013 16:58:13.196   -604047.92579578026     -179474.23294041707     133103.29591504944      
20 Nov 2013 17:08:13.196   -606085.13606944785     -180148.02375426787     133587.26888391981      
20 Nov 2013 17:18:13.196   -608122.02228521451     -180821.73883771646     134071.15905778299      
20 Nov 2013 17:28:13.196   -610158.58662713692     -181495.37885307972     134554.96687280061      
20 Nov 2013 17:38:13.196   -612194.83125657763     -182168.9444565775      135038.69276055007      
20 Nov 2013 17:48:13.196   -614230.75831251929     -182842.43629841178     135522.33714808608      
20 Nov 2013 17:58:13.196   -616266.36991187278     -183515.85502284483     136005.9004580006       
20 Nov 2013 18:08:13.196   -618301.66814978176     -184189.20126827573     136489.38310848232      
20 Nov 2013 18:18:13.196   -620336.65509991813     -184862.4756673158      136972.78551337443      
20 Nov 2013 18:28:13.196   -622371.33281477704     -185535.67884686295     137456.10808223244      
20 Nov 2013 18:38:13.196   -624405.70332596358     -186208.81142817461     137939.35122037993      
20 Nov 2013 18:48:13.196   -626439.76864447596     -186881.87402693953     138422.51532896413      
20 Nov 2013 18:58:13.196   -628473.53076098335     -187554.86725334852     138905.60080501044      
20 Nov 2013 19:08:13.196   -630506.99164609937     -188227.79171216403     139388.60804147588      
20 Nov 2013 19:18:13.196   -632540.1532506512      -188900.64800278854     139871.53742730193      
20 Nov 2013 19:28:13.196   -634573.01750594308     -189573.43671933192     140354.38934746617      
20 Nov 2013 19:38:13.196   -636605.5863240161      -190246.1584506777      140837.1641830336       
20 Nov 2013 19:48:13.196   -638637.86159790459     -190918.81378054843     141319.86231120635      
20 Nov 2013 19:58:13.196   -640669.84520188614     -191591.4032875697      141802.48410537347      
20 Nov 2013 20:08:13.196   -642701.53899172891     -192263.92754533346     142285.02993515937      
20 Nov 2013 20:18:13.196   -644732.94480493513     -192936.38712246032     142767.50016647164      
20 Nov 2013 20:28:13.196   -646764.06446097919     -193608.78258266055     143249.89516154802      
20 Nov 2013 20:38:13.196   -648794.89976154338     -194281.1144847945      143732.21527900288      
20 Nov 2013 20:48:13.196   -650825.45249074872     -194953.38338293211     144214.46087387254      
20 Nov 2013 20:58:13.196   -652855.72441538167     -195625.58982641107     144696.63229766034      
20 Nov 2013 21:08:13.196   -654885.71728511853     -196297.73435989459     145178.7298983807       
20 Nov 2013 21:18:13.196   -656915.4328327456      -196969.81752342789     145660.75402060265      
20 Nov 2013 21:28:13.196   -658944.87277437525     -197641.8398524941      146142.70500549255      
20 Nov 2013 21:38:13.196   -660974.03880965896     -198313.80187806912     146624.58319085604      
20 Nov 2013 21:48:13.196   -663002.93262199697     -198985.7041266759      147106.38891117991      
20 Nov 2013 21:58:13.196   -665031.55587874481     -199657.54712043746     147588.12249767248      
20 Nov 2013 22:08:13.196   -667059.9102314153      -200329.33137712957     148069.78427830411      
20 Nov 2013 22:18:13.196   -669087.99731587945     -201001.05741023234     148551.37457784667      
20 Nov 2013 22:28:13.196   -671115.81875256228     -201672.72572898117     149032.89371791246      
20 Nov 2013 22:38:13.196   -673143.37614663632     -202344.33683841687     149514.3420169926       
20 Nov 2013 22:48:13.196   -675170.67108821229     -203015.89123943515     149995.719790495        
20 Nov 2013 22:58:13.196   -677197.70515252627     -203687.38942883513     150477.02735078125      
20 Nov 2013 23:08:13.196   -679224.47990012413     -204358.83189936745     150958.26500720359      
20 Nov 2013 23:18:13.196   -681250.99687704339     -205030.21913978146     151439.4330661408       
20 Nov 2013 23:28:13.196   -683277.25761499174     -205701.55163487172     151920.53183103391      
20 Nov 2013 23:38:13.196   -685303.2636315237      -206372.82986552376     152401.56160242122      
20 Nov 2013 23:48:13.196   -687329.01643021288     -207044.0543087594      152882.52267797259      
20 Nov 2013 23:58:13.196   -689354.51750082313     -207715.22543778137     153363.41535252379      
21 Nov 2013 00:08:13.196   -691379.76831947698     -208386.34372201702     153844.23991810967      
21 Nov 2013 00:18:13.196   -693404.77034882025     -209057.40962716157     154324.99666399742      
21 Nov 2013 00:28:13.196   -695429.52503818588     -209728.42361522082     154805.68587671878      
21 Nov 2013 00:38:13.196   -697454.03382375359     -210399.38614455287     155286.30784010235      
21 Nov 2013 00:48:13.196   -699478.29812870827     -211070.29766991004     155766.8628353051       
21 Nov 2013 00:58:13.196   -701502.3193633958      -211741.15864247916     156247.35114084321      
21 Nov 2013 01:08:13.196   -703526.09892547596     -212411.96950992197     156727.77303262314      
